system:time_start,NDVI
"Dec 13, 2023",0.226
"Dec 13, 2023",0.172
"Dec 13, 2023",0.211
"Dec 15, 2023",0.221
"Dec 18, 2023",0.249
"Dec 18, 2023",0.178
"Dec 18, 2023",0.229
"Dec 23, 2023",0.251
"Dec 23, 2023",0.183
"Dec 23, 2023",0.243
"Dec 25, 2023",0.391
"Dec 25, 2023",0.292
"Dec 25, 2023",0.254
"Dec 28, 2023",0.195
"Dec 28, 2023",0.252
